date,value
2017-07-01,-2.5999999999999943
2017-08-01,-0.4000000000000057
2017-09-01,0.20000000000000284
2017-10-01,0.7999999999999972
2017-11-01,2.0
2017-12-01,1.5
2018-01-01,2.799999999999997
2018-02-01,-0.5
2018-03-01,0.09999999999999432
2018-04-01,-0.29999999999999716
2018-05-01,-1.0
2018-06-01,-1.5999999999999943
2018-07-01,-1.2000000000000028
2018-08-01,0.5999999999999943
2018-09-01,0.29999999999999716
2018-10-01,0.09999999999999432
2018-11-01,1.0
2018-12-01,1.5
2019-01-01,1.7999999999999972
2019-02-01,0.5999999999999943
2019-03-01,0.09999999999999432
2019-04-01,-0.09999999999999432
2019-05-01,-0.4000000000000057
2019-06-01,-1.9000000000000057
2019-07-01,-1.9000000000000057
2019-08-01,-0.4000000000000057
2019-09-01,0.20000000000000284
2019-10-01,0.5999999999999943
2019-11-01,1.0999999999999943
2019-12-01,1.2999999999999972
2020-01-01,1.4000000000000057
2020-02-01,-0.20000000000000284
2020-03-01,0.5
2020-04-01,0.9000000000000057
2020-05-01,-0.09999999999999432
2020-06-01,-1.4000000000000057
2020-07-01,-2.0999999999999943
2020-08-01,-0.09999999999999432
2020-09-01,-0.20000000000000284
2020-10-01,0.5
2020-11-01,1.2999999999999972
2020-12-01,3.4000000000000057
2021-01-01,2.200000000000003
2021-02-01,0.5999999999999943
2021-03-01,1.0
2021-04-01,1.2999999999999972
2021-05-01,-0.4000000000000057
2021-06-01,-0.7999999999999972
2021-07-01,-0.5
2021-08-01,0.4000000000000057
2021-09-01,-0.09999999999999432
2021-10-01,0.7000000000000028
2021-11-01,1.7000000000000028
2021-12-01,1.5999999999999943
2022-01-01,1.5999999999999943
2022-02-01,0.09999999999999432
2022-03-01,1.7999999999999972
2022-04-01,2.299999999999997
2022-05-01,0.09999999999999432
2022-06-01,0.29999999999999716
2022-07-01,-1.4000000000000057
2022-08-01,0.20000000000000284
2022-09-01,0.5999999999999943
2022-10-01,0.29999999999999716
2022-11-01,1.0999999999999943
2022-12-01,1.0999999999999943
2023-01-01,1.4000000000000057
2023-02-01,0.09999999999999432
2023-03-01,-0.7000000000000028
2023-04-01,0.09999999999999432
2023-05-01,-1.7999999999999972
2023-06-01,-1.4000000000000057
2023-07-01,-1.0
2023-08-01,0.09999999999999432
2023-09-01,0.9000000000000057
2023-10-01,0.29999999999999716
2023-11-01,0.5
2023-12-01,0.9000000000000057
2024-01-01,1.2000000000000028
2024-02-01,-0.7000000000000028
2024-03-01,-0.20000000000000284
2024-04-01,0.5999999999999943
2024-05-01,-0.7999999999999972
2024-06-01,-0.9000000000000057
2024-07-01,-0.4000000000000057
2024-08-01,0.09999999999999432
2024-09-01,0.20000000000000284
2024-10-01,0.29999999999999716
2024-11-01,1.2999999999999972
2024-12-01,1.0
2025-01-01,1.4000000000000057
2025-02-01,0.09999999999999432
2025-03-01,0.5
2025-04-01,0.5
2025-05-01,0.29999999999999716
2025-06-01,-1.2999999999999972
2025-07-01,-0.7999999999999972
2025-08-01,0.20000000000000284
2025-09-01,0.29999999999999716
2025-10-01,0.29999999999999716
2025-11-01,0.5999999999999943
2025-12-01,1.2000000000000028
2026-01-01,2.0
2026-02-01,0.5
